Plot,Area_m2,Border_length,Lenght,Width,Border Index,GSCI,PFD,FD,FDI,Asymmetry,Elliptic_Fit,Density,Radius_of_largest enclosed ellipse,Rectangular fit,LengthWidt,Radius_of_smallest enclosed ellipse,Shape_index,Compactnes,Roundness,Number_of_pixel
1,0.67,7.40,10.00,44.91,0.07,2.55,-10.00,-3.07,-3.68,0.38,0.34,1.45,2.07,0.63,1.49,0.21,2.26,3.40,1.86,67.00
1,0.14,2.00,5.72,6.00,0.09,1.51,-0.71,0.71,0.58,0.79,0.57,1.23,1.28,0.76,2.33,0.83,1.34,1.50,0.45,14.00
1,0.02,0.60,2.00,1.00,0.10,1.20,0.26,0.97,0.91,0.60,1.00,0.86,1.00,1.00,2.00,1.00,1.06,1.00,0.00,2.00
1,0.02,0.60,2.00,1.00,0.10,1.20,0.26,0.97,0.91,0.60,1.00,0.86,1.00,1.00,2.00,1.00,1.06,1.00,0.00,2.00
1,0.06,1.40,3.58,2.81,0.11,1.61,-0.24,0.75,0.66,0.73,0.67,1.04,1.04,0.75,2.13,0.81,1.43,1.66,0.23,6.00
1,0.14,2.20,5.58,6.30,0.09,1.66,-0.80,0.61,0.49,0.76,0.71,1.23,1.11,0.79,2.22,0.57,1.47,1.70,0.54,14.00
1,0.21,2.60,6.48,10.50,0.08,1.60,-1.22,0.55,0.40,0.44,0.52,1.45,1.19,0.77,2.00,0.67,1.42,1.52,0.52,21.00
1,0.08,1.40,3.27,6.00,0.08,1.40,-0.27,0.83,0.74,0.26,0.75,1.27,1.03,0.76,1.33,0.82,1.24,1.50,0.21,8.00
1,0.04,1.00,2.45,2.67,0.10,1.41,0.00,0.86,0.79,0.60,1.00,0.99,1.00,0.75,1.50,0.83,1.25,1.50,0.17,4.00
1,0.05,1.00,2.74,3.33,0.08,1.26,0.00,0.93,0.84,0.42,1.00,1.13,1.00,0.86,1.50,0.97,1.12,1.20,0.03,5.00
1,0.01,0.40,1.00,1.00,0.10,1.13,0.40,1.00,0.95,0.01,1.00,0.71,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00
1,0.23,3.40,8.16,7.94,0.11,2.00,-1.67,0.22,0.06,0.88,0.57,1.11,1.35,0.70,2.90,0.50,1.77,1.86,0.85,23.00
1,0.01,0.40,1.00,1.00,0.10,1.13,0.40,1.00,0.95,0.01,1.00,0.71,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00
1,3.85,26.20,23.98,257.83,0.05,3.77,4.85,2.79,2.97,0.60,0.27,1.59,1.67,0.61,1.49,0.08,3.34,2.64,1.59,385.00
1,0.01,0.40,1.00,1.00,0.10,1.13,0.40,1.00,0.95,0.01,1.00,0.71,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00
1,0.02,0.60,2.00,1.00,0.10,1.20,0.26,0.97,0.91,0.60,1.00,0.86,1.00,1.00,2.00,1.00,1.06,1.00,0.00,2.00
1,0.25,3.20,5.99,17.43,0.07,1.81,-1.68,0.32,0.15,0.35,0.52,1.45,1.35,0.73,1.43,0.41,1.60,2.04,0.93,25.00
1,0.02,0.60,2.00,1.00,0.10,1.20,0.26,0.97,0.91,0.60,1.00,0.86,1.00,1.00,2.00,1.00,1.06,1.00,0.00,2.00
1,0.10,1.80,4.47,5.00,0.10,1.61,-0.51,0.69,0.59,0.77,0.20,1.13,1.35,0.68,2.00,0.50,1.42,1.80,0.85,10.00
1,0.02,0.60,2.00,1.00,0.10,1.20,0.26,0.97,0.91,0.60,1.00,0.86,1.00,1.00,2.00,1.00,1.06,1.00,0.00,2.00
1,0.14,2.40,4.37,10.24,0.08,1.81,-0.89,0.52,0.40,0.51,0.29,1.26,1.39,0.68,1.37,0.71,1.60,2.09,0.68,14.00
1,0.21,3.20,6.50,10.43,0.09,1.97,-1.49,0.29,0.13,0.77,0.33,1.20,1.44,0.62,2.01,0.44,1.75,2.37,1.00,21.00
1,0.01,0.40,1.00,1.00,0.10,1.13,0.40,1.00,0.95,0.01,1.00,0.71,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00
1,1.57,13.40,16.68,88.64,0.06,3.02,11.51,5.36,5.90,0.74,0.04,1.28,1.96,0.52,1.77,0.21,2.67,2.98,1.75,157.00
1,0.01,0.40,1.00,1.00,0.10,1.13,0.40,1.00,0.95,0.01,1.00,0.71,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00
1,0.01,0.40,1.00,1.00,0.10,1.13,0.40,1.00,0.95,0.01,1.00,0.71,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00
1,0.95,8.20,12.51,57.65,0.06,2.37,-82.04,-27.99,-32.70,0.61,0.41,1.57,1.60,0.71,1.65,0.46,2.10,2.20,1.13,95.00
1,0.01,0.40,1.00,1.00,0.10,1.13,0.40,1.00,0.95,0.01,1.00,0.71,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00
1,0.01,0.40,1.00,1.00,0.10,1.13,0.40,1.00,0.95,0.01,1.00,0.71,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00
1,0.01,0.40,1.00,1.00,0.10,1.13,0.40,1.00,0.95,0.01,1.00,0.71,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00
1,0.01,0.40,1.00,1.00,0.10,1.13,0.40,1.00,0.95,0.01,1.00,0.71,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00
1,0.08,1.60,4.22,3.59,0.10,1.60,-0.37,0.73,0.63,0.75,0.50,1.11,1.07,0.78,2.23,0.95,1.41,1.68,0.12,8.00
1,0.01,0.40,1.00,1.00,0.10,1.13,0.40,1.00,0.95,0.01,1.00,0.71,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00
1,0.02,0.60,2.00,1.00,0.10,1.20,0.26,0.97,0.91,0.60,1.00,0.86,1.00,1.00,2.00,1.00,1.06,1.00,0.00,2.00
1,0.01,0.40,1.00,1.00,0.10,1.13,0.40,1.00,0.95,0.01,1.00,0.71,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00
1,0.02,0.60,2.00,1.00,0.10,1.20,0.26,0.97,0.91,0.60,1.00,0.86,1.00,1.00,2.00,1.00,1.06,1.00,0.00,2.00
1,0.05,1.00,2.74,3.33,0.08,1.26,0.00,0.93,0.84,0.42,1.00,1.13,1.00,0.86,1.50,0.97,1.12,1.20,0.03,5.00
1,0.16,3.00,6.00,7.11,0.11,2.12,-1.20,0.31,0.18,0.76,0.25,1.09,1.72,0.58,2.25,0.33,1.88,2.25,1.39,16.00
1,0.06,1.40,3.58,2.81,0.11,1.61,-0.24,0.75,0.66,0.73,0.67,1.04,1.04,0.75,2.13,0.81,1.43,1.66,0.23,6.00
1,0.03,0.80,1.73,3.00,0.08,1.30,0.13,0.92,0.85,0.37,1.00,0.97,1.00,0.80,1.00,0.96,1.15,1.33,0.04,3.00
1,0.02,0.60,2.00,1.00,0.10,1.20,0.26,0.97,0.91,0.60,1.00,0.86,1.00,1.00,2.00,1.00,1.06,1.00,0.00,2.00
1,0.07,1.20,2.65,7.00,0.06,1.28,-0.14,0.91,0.81,0.31,0.71,1.22,1.04,0.83,1.00,0.87,1.13,1.29,0.17,7.00
1,0.01,0.40,1.00,1.00,0.10,1.13,0.40,1.00,0.95,0.01,1.00,0.71,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00
1,0.03,0.80,1.73,3.00,0.08,1.30,0.13,0.92,0.85,0.37,1.00,0.97,1.00,0.80,1.00,0.96,1.15,1.33,0.04,3.00
1,1.02,8.60,11.55,78.00,0.05,2.40,217.32,77.31,89.51,0.60,0.35,1.56,1.75,0.68,1.31,0.52,2.13,2.17,1.23,102.00
1,0.12,2.20,5.04,5.67,0.10,1.79,-0.74,0.56,0.45,0.73,0.50,1.19,1.20,0.72,2.12,0.69,1.59,1.84,0.51,12.00
1,0.05,1.00,2.74,3.33,0.08,1.26,0.00,0.93,0.84,0.42,1.00,1.13,1.00,0.86,1.50,0.97,1.12,1.20,0.03,5.00
1,0.27,4.00,6.60,16.73,0.09,2.17,-2.12,0.00,-0.18,0.50,0.26,1.27,1.62,0.56,1.61,0.39,1.92,2.70,1.24,27.00
1,0.01,0.40,1.00,1.00,0.10,1.13,0.40,1.00,0.95,0.01,1.00,0.71,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00
1,0.12,1.80,4.71,6.50,0.08,1.47,-0.55,0.75,0.64,0.64,0.83,1.30,1.06,0.81,1.85,0.96,1.30,1.61,0.10,12.00
1,0.02,0.60,2.00,1.00,0.10,1.20,0.26,0.97,0.91,0.60,1.00,0.86,1.00,1.00,2.00,1.00,1.06,1.00,0.00,2.00
1,0.05,1.20,3.35,2.23,0.11,1.51,-0.12,0.80,0.72,0.69,1.00,1.05,1.00,0.81,2.24,1.00,1.34,1.31,0.00,5.00
1,0.01,0.40,1.00,1.00,0.10,1.13,0.40,1.00,0.95,0.01,1.00,0.71,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00
1,0.01,0.40,1.00,1.00,0.10,1.13,0.40,1.00,0.95,0.01,1.00,0.71,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00
1,0.01,0.40,1.00,1.00,0.10,1.13,0.40,1.00,0.95,0.01,1.00,0.71,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00
1,0.02,0.60,2.00,1.00,0.10,1.20,0.26,0.97,0.91,0.60,1.00,0.86,1.00,1.00,2.00,1.00,1.06,1.00,0.00,2.00
1,1.22,8.20,11.41,114.38,0.03,2.09,21.16,7.22,8.43,0.23,0.46,1.76,1.40,0.70,1.07,0.35,1.86,1.97,1.04,122.00
1,0.01,0.40,1.00,1.00,0.10,1.13,0.40,1.00,0.95,0.01,1.00,0.71,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00
1,0.01,0.40,1.00,1.00,0.10,1.13,0.40,1.00,0.95,0.01,1.00,0.71,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00
1,0.01,0.40,1.00,1.00,0.10,1.13,0.40,1.00,0.95,0.01,1.00,0.71,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00
1,0.02,0.60,2.00,1.00,0.10,1.20,0.26,0.97,0.91,0.60,1.00,0.86,1.00,1.00,2.00,1.00,1.06,1.00,0.00,2.00
1,0.01,0.40,1.00,1.00,0.10,1.13,0.40,1.00,0.95,0.01,1.00,0.71,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00
1,0.03,0.80,3.00,1.00,0.10,1.30,0.13,0.92,0.85,0.80,1.00,0.91,1.00,1.00,3.00,1.00,1.15,1.00,0.00,3.00
1,1.02,6.40,10.45,95.20,0.03,1.79,187.48,47.47,59.67,0.10,0.65,1.86,1.35,0.78,1.07,0.62,1.58,2.06,0.72,102.00
1,0.10,1.80,4.89,4.18,0.10,1.61,-0.51,0.69,0.59,0.80,0.80,1.13,1.12,0.77,2.39,0.84,1.42,1.71,0.28,10.00
1,0.60,7.40,10.67,31.64,0.09,2.69,-7.84,-2.41,-2.88,0.78,0.03,1.26,1.41,0.53,1.90,0.38,2.39,2.45,1.03,60.00
1,0.05,1.00,2.74,3.33,0.08,1.26,0.00,0.93,0.84,0.42,1.00,1.13,1.00,0.86,1.50,0.97,1.12,1.20,0.03,5.00
1,0.02,0.60,2.00,1.00,0.10,1.20,0.26,0.97,0.91,0.60,1.00,0.86,1.00,1.00,2.00,1.00,1.06,1.00,0.00,2.00
1,0.02,0.60,2.00,1.00,0.10,1.20,0.26,0.97,0.91,0.60,1.00,0.86,1.00,1.00,2.00,1.00,1.06,1.00,0.00,2.00
1,0.03,0.80,1.73,3.00,0.08,1.30,0.13,0.92,0.85,0.37,1.00,0.97,1.00,0.80,1.00,0.96,1.15,1.33,0.04,3.00
1,0.02,0.60,2.00,1.00,0.10,1.20,0.26,0.97,0.91,0.60,1.00,0.86,1.00,1.00,2.00,1.00,1.06,1.00,0.00,2.00
1,0.05,1.00,2.74,3.33,0.08,1.26,0.00,0.93,0.84,0.42,1.00,1.13,1.00,0.86,1.50,0.97,1.12,1.20,0.03,5.00
1,0.01,0.40,1.00,1.00,0.10,1.13,0.40,1.00,0.95,0.01,1.00,0.71,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00
1,0.01,0.40,1.00,1.00,0.10,1.13,0.40,1.00,0.95,0.01,1.00,0.71,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00
1,1.95,16.80,20.27,92.58,0.07,3.39,8.45,4.30,4.66,0.86,0.00,1.12,2.10,0.42,2.11,0.27,3.01,3.58,1.84,195.00
1,0.01,0.40,1.00,1.00,0.10,1.13,0.40,1.00,0.95,0.01,1.00,0.71,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00
1,0.08,1.60,4.32,3.43,0.10,1.60,-0.37,0.73,0.63,0.78,0.75,1.09,1.07,0.77,2.33,0.86,1.41,1.61,0.22,8.00
1,0.02,0.60,2.00,1.00,0.10,1.20,0.26,0.97,0.91,0.60,1.00,0.86,1.00,1.00,2.00,1.00,1.06,1.00,0.00,2.00
1,0.09,1.60,4.32,4.35,0.09,1.50,-0.39,0.76,0.66,0.69,1.00,1.21,1.00,0.83,2.07,0.99,1.33,1.47,0.01,9.00
1,0.41,5.20,6.75,36.90,0.06,2.29,-3.70,-0.59,-0.86,0.25,0.27,1.47,1.60,0.65,1.11,0.36,2.03,2.20,1.24,41.00
1,0.01,0.40,1.00,1.00,0.10,1.13,0.40,1.00,0.95,0.01,1.00,0.71,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00
1,0.07,1.40,3.58,3.82,0.09,1.49,-0.25,0.79,0.70,0.61,1.00,1.15,1.00,0.78,1.83,0.96,1.32,1.63,0.04,7.00
1,0.01,0.40,1.00,1.00,0.10,1.13,0.40,1.00,0.95,0.01,1.00,0.71,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00
1,0.04,1.00,2.64,2.29,0.10,1.41,0.00,0.86,0.79,0.61,1.00,1.02,1.00,0.77,1.74,1.00,1.25,1.49,0.00,4.00
1,0.01,0.40,1.00,1.00,0.10,1.13,0.40,1.00,0.95,0.01,1.00,0.71,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00
1,0.01,0.40,1.00,1.00,0.10,1.13,0.40,1.00,0.95,0.01,1.00,0.71,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00
1,0.09,1.40,3.46,6.75,0.07,1.32,-0.28,0.87,0.77,0.51,0.78,1.25,1.14,0.82,1.33,0.93,1.17,1.33,0.21,9.00
1,0.07,1.20,2.65,7.00,0.06,1.28,-0.14,0.91,0.81,0.07,1.00,1.26,1.00,0.83,1.00,1.00,1.13,1.29,0.00,7.00
1,0.03,0.80,1.73,3.00,0.08,1.30,0.13,0.92,0.85,0.37,1.00,0.97,1.00,0.80,1.00,0.96,1.15,1.33,0.04,3.00
1,0.01,0.40,1.00,1.00,0.10,1.13,0.40,1.00,0.95,0.01,1.00,0.71,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00
1,0.01,0.40,1.00,1.00,0.10,1.13,0.40,1.00,0.95,0.01,1.00,0.71,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00
1,0.01,0.40,1.00,1.00,0.10,1.13,0.40,1.00,0.95,0.01,1.00,0.71,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00
1,0.02,0.60,2.00,1.00,0.10,1.20,0.26,0.97,0.91,0.60,1.00,0.86,1.00,1.00,2.00,1.00,1.06,1.00,0.00,2.00
1,4.62,27.60,30.99,222.24,0.05,3.62,4.34,2.52,2.68,0.82,0.31,1.47,1.53,0.66,2.08,0.08,3.21,2.58,1.46,462.00
1,0.01,0.40,1.00,1.00,0.10,1.13,0.40,1.00,0.95,0.01,1.00,0.71,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00
1,0.01,0.40,1.00,1.00,0.10,1.13,0.40,1.00,0.95,0.01,1.00,0.71,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00
1,0.02,0.60,2.00,1.00,0.10,1.20,0.26,0.97,0.91,0.60,1.00,0.86,1.00,1.00,2.00,1.00,1.06,1.00,0.00,2.00
1,0.32,3.80,9.71,10.86,0.09,1.89,-2.34,0.09,-0.12,0.85,0.81,1.29,1.38,0.77,2.95,0.65,1.68,1.87,0.73,32.00
1,0.02,0.60,2.00,1.00,0.10,1.20,0.26,0.97,0.91,0.60,1.00,0.86,1.00,1.00,2.00,1.00,1.06,1.00,0.00,2.00
1,0.03,0.80,1.73,3.00,0.08,1.30,0.13,0.92,0.85,0.37,1.00,0.97,1.00,0.80,1.00,0.96,1.15,1.33,0.04,3.00
1,0.01,0.40,1.00,1.00,0.10,1.13,0.40,1.00,0.95,0.01,1.00,0.71,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00
1,0.02,0.60,2.00,1.00,0.10,1.20,0.26,0.97,0.91,0.60,1.00,0.86,1.00,1.00,2.00,1.00,1.06,1.00,0.00,2.00
1,0.03,0.80,1.73,3.00,0.08,1.30,0.13,0.92,0.85,0.37,1.00,0.97,1.00,0.80,1.00,0.96,1.15,1.33,0.04,3.00
1,0.12,2.00,5.29,5.14,0.10,1.63,-0.65,0.65,0.54,0.74,0.67,1.22,1.11,0.77,2.33,0.95,1.44,1.75,0.15,12.00
1,0.26,2.60,5.10,26.00,0.04,1.44,-1.42,0.64,0.46,0.10,0.77,1.62,1.10,0.84,1.00,0.82,1.27,1.38,0.28,26.00
1,0.02,0.60,2.00,1.00,0.10,1.20,0.26,0.97,0.91,0.60,1.00,0.86,1.00,1.00,2.00,1.00,1.06,1.00,0.00,2.00
1,0.05,1.20,3.16,2.50,0.11,1.51,-0.12,0.80,0.72,0.74,0.20,1.02,1.03,0.67,2.00,0.75,1.34,1.60,0.28,5.00
1,0.03,0.80,1.73,3.00,0.08,1.30,0.13,0.92,0.85,0.37,1.00,0.97,1.00,0.80,1.00,0.96,1.15,1.33,0.04,3.00
1,0.24,2.80,6.75,12.64,0.07,1.61,-1.44,0.50,0.33,0.68,0.75,1.41,1.18,0.82,1.90,0.70,1.43,1.66,0.48,24.00
1,0.01,0.40,1.00,1.00,0.10,1.13,0.40,1.00,0.95,0.01,1.00,0.71,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00
1,0.04,1.00,2.45,2.67,0.10,1.41,0.00,0.86,0.79,0.60,1.00,0.99,1.00,0.75,1.50,0.83,1.25,1.50,0.17,4.00
1,0.19,3.20,5.03,14.25,0.08,2.07,-1.40,0.27,0.12,0.56,0.00,1.13,1.84,0.51,1.33,0.10,1.84,2.53,1.74,19.00
1,3.14,23.40,23.60,177.10,0.06,3.73,5.51,3.09,3.30,0.59,0.17,1.48,1.80,0.55,1.77,0.11,3.30,3.02,1.69,314.00
1,0.02,0.60,2.00,1.00,0.10,1.20,0.26,0.97,0.91,0.60,1.00,0.86,1.00,1.00,2.00,1.00,1.06,1.00,0.00,2.00
1,0.01,0.40,1.00,1.00,0.10,1.13,0.40,1.00,0.95,0.01,1.00,0.71,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00
1,0.01,0.40,1.00,1.00,0.10,1.13,0.40,1.00,0.95,0.01,1.00,0.71,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00
1,0.01,0.40,1.00,1.00,0.10,1.13,0.40,1.00,0.95,0.01,1.00,0.71,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00
1,0.01,0.40,1.00,1.00,0.10,1.13,0.40,1.00,0.95,0.01,1.00,0.71,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00
1,0.01,0.40,1.00,1.00,0.10,1.13,0.40,1.00,0.95,0.01,1.00,0.71,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00
1,0.15,2.20,5.12,8.57,0.08,1.60,-0.83,0.63,0.50,0.60,0.47,1.28,1.44,0.77,1.75,0.65,1.42,1.87,0.79,15.00
1,0.22,3.40,8.66,6.45,0.11,2.04,-1.62,0.21,0.06,0.89,0.45,1.13,1.23,0.76,3.41,0.44,1.81,1.84,0.79,22.00
1,0.09,1.60,3.46,6.75,0.08,1.50,-0.39,0.76,0.66,0.13,1.00,1.30,1.00,0.80,1.33,0.68,1.33,1.33,0.32,9.00
